terminal,n_changepoints,mape
606063,0,0.34316175869053617
606063,1,0.2545829105718938
606063,2,0.3516217572385389
606063,3,0.4187665705716582
606063,4,0.39682394238572327
606063,5,0.5826018900567981
606064,0,0.11139250902201994
606064,1,0.10375889909126619
606064,2,0.10288899721883028
606064,3,0.10668884717515523
606064,4,0.10192109554151761
606064,5,0.1283648159204124
606068,0,0.31877985841345313
606068,1,0.3161623716561276
606068,2,0.31697047179470583
606068,3,0.32264791477817545
606068,4,0.31591260560306933
606068,5,0.34272626082434055
606074,0,0.4462202526956905
606074,1,0.4349729532118642
606074,2,0.5907397486787226
606074,3,0.6369119741001021
606074,4,0.5416747708268438
606074,5,0.6690557145163536
606075,0,0.18214483429727465
606075,1,0.17032983856123077
606075,2,0.17277032662019964
606075,3,0.19006802101948744
606075,4,0.16420267800104696
606075,5,0.2561775344316929
606076,0,0.12759527163803622
606076,1,0.10722099182789947
606076,2,0.1208890827069942
606076,3,0.12028871743730427
606076,4,0.10575217276266359
606076,5,0.14148256424964287
606082,0,0.16826538869565968
606082,1,0.15806617943856893
606082,2,0.16734420052155569
606082,3,0.16916387896141685
606082,4,0.15733841091414122
606082,5,0.17771500776226687
606085,0,0.18293407155042
606085,1,0.2302054741495757
606085,2,0.19783556339229236
606085,3,0.1910750835768128
606085,4,0.25470459881153323
606085,5,0.19054340420197305
606088,0,0.28087843661252565
606088,1,0.28959330246208564
606088,2,0.2822964452227518
606088,3,0.2974215326787955
606088,4,0.4248250290409383
606088,5,0.2698484425564534
606090,0,0.18105129146976434
606090,1,0.17360108433062452
606090,2,0.17390381902470975
606090,3,0.17452808051605045
606090,4,0.19440322636911037
606090,5,0.1788386740971039
606091,0,0.35896143375622597
606091,1,0.3615472816679769
606091,2,0.3583599997461788
606091,3,0.36409498772120447
606091,4,0.34719593315914826
606091,5,0.3861172374959513
606099,0,0.14141003869389152
606099,1,0.10486952173050372
606099,2,0.12780920986321337
606099,3,0.12908786711054654
606099,4,0.07519814829792237
606099,5,0.19491103614181737
606103,0,0.2140414760640725
606103,1,0.17743733432366396
606103,2,0.18674257753118859
606103,3,0.18147787907491944
606103,4,0.1524909955020237
606103,5,0.19843790024267913
606110,0,0.09937399871811818
606110,1,0.1144347387483855
606110,2,0.09742490502738245
606110,3,0.0974014088133164
606110,4,0.10403470122679018
606110,5,0.09728917302230897
606118,0,0.08500148418739664
606118,1,0.10363792018778455
606118,2,0.09458115178580914
606118,3,0.09643799259026357
606118,4,0.11542588970862684
606118,5,0.08947949191374238
606120,0,0.20023135820878707
606120,1,0.168558110799711
606120,2,0.19985162907205853
606120,3,0.21731264602955733
606120,4,0.1687712281230731
606120,5,0.33059023983611535
606122,0,0.2721545902986904
606122,1,0.2553218012456294
606122,2,0.28702896733541566
606122,3,0.29293020295188754
606122,4,0.2554584341133792
606122,5,0.31031670202101913
606124,0,0.198903639916946
606124,1,0.18358282183605473
606124,2,0.22469887719213147
606124,3,0.23835973184060186
606124,4,0.23151996049226256
606124,5,0.2544139829761799
606125,0,0.6770767277654876
606125,1,0.6041685142465189
606125,2,0.8964250015085787
606125,3,0.9832758052765376
606125,4,0.8976845203910014
606125,5,1.0503750033216412
606127,0,0.18625984959902353
606127,1,0.15123498413888084
606127,2,0.15898564446901678
606127,3,0.15975589033375254
606127,4,0.17361570690478406
606127,5,0.20843801332165696
606128,0,0.42995305633372555
606128,1,0.4437686764645662
606128,2,0.4553455249574357
606128,3,0.444906653521614
606128,4,0.4593244856985653
606128,5,0.41669928335584455
606132,0,0.12715943424072593
606132,1,0.12343709707806892
606132,2,0.13934497093128959
606132,3,0.16062461110206955
606132,4,0.14555404829332594
606132,5,0.1807897706348904
606133,0,0.28562786003872426
606133,1,0.2124321632004528
606133,2,0.3030934426177276
606133,3,0.3289089970570492
606133,4,0.23083913580025817
606133,5,0.3990647103561044
606137,0,0.3397701943889444
606137,1,0.34059722672970477
606137,2,0.37478821458706224
606137,3,0.41081253967793274
606137,4,0.3491365928545738
606137,5,0.43561121515691337
606139,0,0.21904833018653397
606139,1,0.1923793875867599
606139,2,0.23158229153795565
606139,3,0.24240342709328605
606139,4,0.19844531265516058
606139,5,0.2610254256508428
606140,0,0.11997774836380785
606140,1,0.17831832398278577
606140,2,0.1469399162343882
606140,3,0.1442188268207753
606140,4,0.24021555754165141
606140,5,0.12194692093776525
606149,0,0.20980087656451268
606149,1,0.19080979148582206
606149,2,0.20326051746282697
606149,3,0.21016652571212432
606149,4,0.1900594886008751
606149,5,0.23746431731780457
606153,0,1.2544263991350217
606153,1,1.585365838793358
606153,2,1.6266216173661507
